Story,Av_Score,Character Development,Emotional Flexibility,Language Proficiency & Literary Devices,Narrative Ending,Narrative Pacing,Originality in Form & Structure,Originality in Thought,Originality of Theme and Content,Perspective & Voice Flexibility,Rhetorical Complexity,Scene vs. Exposition,Structural Flexibility,Understandability & Coherence,World-Building and Setting
The Beautiful Suit,3.39,3,2,3,3,3,1,3,3,2,3,3,2,3,3
Rumpelstiltskin,3.64,0,1,1,3,3,0,0,0,0,1,2,2,3,1
The Pearl of Love,4.12,2,1,3,3,3,2,3,3,1,3,0,3,3,2
The Tree,2.98,1,1,3,3,3,0,3,3,1,3,1,2,3,3
The Man From Snowy River,4.03,1,1,3,3,3,0,2,2,1,1,3,1,3,3
The Cats of Ulthar,3.74,0,1,3,3,2,0,3,3,0,3,0,0,3,3
The Terrible Old Man,3.35,0,1,3,3,3,0,3,2,2,3,2,3,3,3
The Child’s Story,3.88,0,1,3,3,3,0,3,3,1,3,1,3,3,3
A Dead Woman's Secret,2.8,3,3,3,3,3,2,3,3,3,3,3,3,3,2
Clancy of the Overflow,4.13,1,3,3,3,3,0,2,1,1,3,2,2,3,3
A Diagnosis of Death,3.21,2,2,2,3,3,1,3,3,2,3,2,3,3,2
The Leopard Man’s Story,3.396875,3,2,3,3,3,2,3,3,2,3,2,3,3,3
The Boar-Pig,3.63,2,2,3,3,3,1,3,3,2,3,3,3,3,3
The Last Incantation,3.97,3,2,3,3,3,0,3,3,1,3,2,2,3,3
The Doer of Good,3.85,0,1,3,3,3,3,3,3,1,3,3,2,3,1
A Strange Story,3.03,0,0,2,3,3,0,3,3,0,0,1,3,3,0
"Filboid Studge, The Story of a Mouse that Helped",3.65,1,1,3,3,3,1,3,3,2,3,2,2,3,1
The Emperor’s New Clothes,3.94,1,2,2,3,3,0,3,3,2,3,3,2,3,1
The Frog-Prince,3.22,2,2,1,3,3,0,0,0,1,1,3,1,3,1
In the Forest of Villefère,3.13,2,2,2,2,3,0,2,1,1,1,3,2,3,1
A Vision of Judgment,3.15,3,3,3,3,3,2,3,3,2,3,3,3,3,3
"Work, Death and Sickness",3.4,0,0,1,3,2,0,2,1,0,1,0,1,3,0
The Story-Teller,3.71,2,3,3,3,3,2,3,3,3,3,3,3,3,3
A Child’s Dream of a Star,3.48,0,1,3,3,3,0,1,1,0,3,1,0,3,1
How The Camel Got His Hump,3.94,1,2,3,3,3,1,3,2,1,3,3,2,3,3
Magnetism,3.29,2,3,3,3,3,1,2,2,2,3,2,2,3,1
The Shirt-Collar,2.84,0,1,2,3,3,3,3,3,2,3,3,3,3,1
A Vendetta,3.7,3,2,2,3,3,0,3,3,1,3,3,3,3,3
A Mother of Monsters,3.81,2,3,2,3,3,2,3,3,1,3,1,3,3,2
The History of the Necronomicon,3.51,0,0,2,0,0,3,3,3,0,3,0,0,3,3
The Pendulum,3.93,2,1,1,3,3,0,3,3,0,2,1,2,3,1
A Chameleon,3.94,2,2,3,3,3,2,3,3,2,3,3,3,3,2
Mrs. Packletide’s Tiger,3.31,1,2,3,3,3,1,3,3,3,3,3,3,3,2
The Triumphs of a Taxidermist,3.05,3,1,3,3,3,0,3,3,2,3,1,1,3,3
The Story Of The Three Bears,3.91,0,0,1,2,3,0,0,0,0,0,1,0,3,1
A Deal In Ostriches,3,1,1,2,3,3,0,3,3,0,2,1,3,3,2
An Extinct Angel,3.65,0,0,3,3,2,2,3,3,0,3,0,0,3,0
